,region,Year,Born,Died,Diff,Born_,Died_,Diff_
472,Башкортостан,2010,57093,54457,2636,14,"13,4","0,6"
473,Марий Эл,1970,10505,6364,4141,"15,3","9,3",6
474,Марий Эл,1980,13169,8091,5078,"18,6","11,4","7,2"
475,Марий Эл,1990,11953,7775,4178,"15,8","10,3","5,5"
476,Марий Эл,1995,7337,9999,-2662,"9,7","13,2","-3,5"
477,Марий Эл,2000,6784,11040,-4256,"9,1","14,9","-5,8"
478,Марий Эл,2005,7475,12256,-4781,"10,5","17,2","-6,7"
479,Марий Эл,2006,7550,11286,-3736,"10,6","15,9","-5,3"
480,Марий Эл,2007,8306,10745,-2439,"11,8","15,2","-3,4"
481,Марий Эл,2008,8620,10699,-2079,"12,3","15,2","-2,9"
482,Марий Эл,2009,8896,10435,-1539,"12,7","14,9","-2,2"
483,Марий Эл,2010,8857,10572,-1715,"12,7","15,2","-2,5"
484,Республика Мордовия,1970,15423,9048,6375,15,"8,8","6,2"
485,Республика Мордовия,1980,14320,10287,4033,"14,6","10,5","4,1"
486,Республика Мордовия,1990,12910,11018,1892,"13,4","11,4",2
487,Республика Мордовия,1995,8589,13460,-4871,9,"14,1","-5,1"
488,Республика Мордовия,2000,7148,14838,-7690,"7,8","16,2","-8,4"
489,Республика Мордовия,2005,7394,14823,-7429,"8,6","17,2","-8,6"
490,Республика Мордовия,2006,7367,13981,-6614,"8,6","16,4","-7,8"
491,Республика Мордовия,2007,7728,13320,-5592,"9,2","15,8","-6,6"
492,Республика Мордовия,2008,8215,13167,-4952,"9,8","15,7","-5,9"
493,Республика Мордовия,2009,8103,13027,-4924,"9,8","15,7","-5,9"
494,Республика Мордовия,2010,7974,13106,-5132,"9,5","15,7","-6,2"
495,Татарстан,1970,47817,25622,22195,"15,2","8,1","7,1"
496,Татарстан,1980,54272,32758,21514,"15,8","9,5","6,3"
497,Татарстан,1990,56277,36219,20058,"15,4","9,9","5,5"
498,Татарстан,1995,39070,48592,-9522,"10,4","12,9","-2,5"
499,Татарстан,2000,35446,49723,-14277,"9,4","13,1","-3,7"
500,Татарстан,2005,36967,51841,-14874,"9,8","13,8",-4
501,Татарстан,2006,37303,49218,-11915,"9,9","13,1","-3,2"
502,Татарстан,2007,40892,48962,-8070,"10,9",13,"-2,1"
503,Татарстан,2008,44290,48952,-4662,"11,8",13,"-1,2"
504,Татарстан,2009,46605,47892,-1287,"12,4","12,7","-0,3"
505,Татарстан,2010,48791,49713,-922,"12,9","13,1","-0,2"
506,Удмуртская республика,1970,23286,13265,10021,"16,4","9,3","7,1"
507,Удмуртская республика,1980,27601,16862,10739,"18,3","11,2","7,1"
508,Удмуртская республика,1990,24345,15816,8529,"15,1","9,8","5,3"
509,Удмуртская республика,1995,15484,22445,-6961,"9,6","13,9","-4,3"
510,Удмуртская республика,2000,16256,21852,-5596,"10,2","13,7","-3,5"
511,Удмуртская республика,2005,17190,24006,-6816,"11,1","15,5","-4,4"
512,Удмуртская республика,2006,17480,22011,-4531,"11,3","14,3",-3
513,Удмуртская республика,2007,19667,21727,-2060,"12,8","14,2","-1,4"
514,Удмуртская республика,2008,20421,21436,-1015,"13,3",14,"-0,7"
515,Удмуртская республика,2009,21109,20227,882,"13,8","13,2","0,6"
516,Удмуртская республика,2010,21684,21100,584,"14,2","13,9","0,3"
517,Чувашия,1970,22465,10993,11472,"18,3","8,9","9,4"
518,Чувашия,1980,22612,13908,8704,"17,3","10,7","6,6"
519,Чувашия,1990,21116,13545,7571,"15,8","10,1","5,7"
520,Чувашия,1995,13842,17727,-3885,"10,3","13,2","-2,9"
521,Чувашия,2000,12363,18640,-6277,"9,3",14,"-4,7"
522,Чувашия,2005,13133,19682,-6549,"10,1","15,2","-5,1"
523,Чувашия,2006,13291,18900,-5609,"10,3","14,7","-4,4"
524,Чувашия,2007,14835,18642,-3807,"11,6","14,5","-2,9"
525,Чувашия,2008,14967,18436,-3469,"11,7","14,4","-2,7"
526,Чувашия,2009,16103,17492,-1389,"12,6","13,7","-1,1"
527,Чувашия,2010,16174,18186,-2012,"12,9","14,5","-1,6"
528,Пермский край,1970,46941,28007,18934,"15,6","9,3","6,3"
529,Пермский край,1980,48808,35913,12895,"16,3",12,"4,3"
530,Пермский край,1990,42183,33647,8536,"13,9","11,1","2,8"
531,Пермский край,1995,27727,47696,-19969,"9,4","16,1","-6,7"
532,Пермский край,2000,27701,46338,-18637,"9,7","16,2","-6,5"
533,Пермский край,2005,29974,49401,-19427,"10,9","17,9",-7
534,Пермский край,2006,30266,45104,-14838,11,"16,5","-5,5"
535,Пермский край,2007,32991,42718,-9727,"12,1","15,7","-3,6"
536,Пермский край,2008,35237,42162,-6925,13,"15,5","-2,5"
537,Пермский край,2009,36043,40609,-4566,"13,3",15,"-1,7"
538,Пермский край,2010,37304,40371,-3067,"14,1","15,3","-1,2"
539,Кировская область,1970,22032,18240,3792,"12,8","10,6","2,2"
540,Кировская область,1980,25837,21008,4829,"15,6","12,7","2,9"
541,Кировская область,1990,21493,19983,1510,13,"12,1","0,9"
542,Кировская область,1995,13290,26648,-13358,"8,2","16,5","-8,3"
543,Кировская область,2000,12587,25882,-13295,"8,1","16,8","-8,7"
544,Кировская область,2005,13541,27640,-14099,"9,3",19,"-9,7"
545,Кировская область,2006,13928,25347,-11419,"9,7","17,7",-8
546,Кировская область,2007,15006,23810,-8804,"10,6","16,8","-6,2"
547,Кировская область,2008,15906,24081,-8175,"11,3","17,1","-5,8"
548,Кировская область,2009,15897,23176,-7279,"11,4","16,6","-5,2"
549,Кировская область,2010,15803,22514,-6711,"11,8","16,8",-5
550,Нижегородская область,1970,48986,34451,14535,"13,2","9,3","3,9"
551,Нижегородская область,1980,49987,44958,5029,"13,5","12,1","1,4"
552,Нижегородская область,1990,42786,48667,-5881,"11,3","12,9","-1,6"
553,Нижегородская область,1995,29881,65518,-35637,8,"17,6","-9,6"
554,Нижегородская область,2000,27699,65310,-37611,"7,7","18,1","-10,4"
555,Нижегородская область,2005,30633,68731,-38098,"8,9",20,"-11,1"
556,Нижегородская область,2006,31048,64642,-33594,"9,1",19,"-9,9"
557,Нижегородская область,2007,33225,61768,-28543,"9,9","18,3","-8,4"
558,Нижегородская область,2008,35389,61029,-25640,"10,6","18,2","-7,6"
559,Нижегородская область,2009,36224,58197,-21973,"10,9","17,5","-6,6"
560,Нижегородская область,2010,36281,59241,-22960,"10,9","17,9",-7
561,Оренбургская область,1970,32045,16259,15786,"15,6","7,9","7,7"
562,Оренбургская область,1980,36909,20511,16398,"17,5","9,7","7,8"
563,Оренбургская область,1990,33311,20933,12378,"15,5","9,7","5,8"
564,Оренбургская область,1995,22833,30033,-7200,"10,3","13,6","-3,3"
565,Оренбургская область,2000,21475,31755,-10280,"9,7","14,4","-4,7"
566,Оренбургская область,2005,22460,33145,-10685,"10,5","15,5",-5
567,Оренбургская область,2006,23335,31583,-8248,"10,9","14,8","-3,9"
568,Оренбургская область,2007,25776,31000,-5224,"12,1","14,6","-2,5"
569,Оренбургская область,2008,26947,30904,-3957,"12,7","14,6","-1,9"
570,Оренбургская область,2009,28144,29215,-1071,"13,3","13,8","-0,5"
571,Оренбургская область,2010,28601,29572,-971,"14,1","14,5","-0,4"
572,Пензенская область,1970,21532,14019,7513,14,"9,1","4,9"
573,Пензенская область,1980,21759,17151,4608,"14,5","11,4","3,1"
574,Пензенская область,1990,18604,18431,173,12,"11,9","0,1"
575,Пензенская область,1995,12817,23427,-10610,"8,3","15,1","-6,8"
576,Пензенская область,2000,11172,25331,-14159,"7,5",17,"-9,5"
577,Пензенская область,2005,11827,25790,-13963,"8,4","18,2","-9,8"
578,Пензенская область,2006,12122,24023,-11901,"8,6","17,1","-8,5"
579,Пензенская область,2007,13472,22447,-8975,"9,7","16,1","-6,4"
580,Пензенская область,2008,14141,22547,-8406,"10,2","16,3","-6,1"
581,Пензенская область,2009,14212,21785,-7573,"10,3","15,8","-5,5"
582,Пензенская область,2010,14115,22064,-7949,"10,2","15,9","-5,7"
583,Самарская область,1970,42190,22766,19424,"15,2","8,2",7
584,Самарская область,1980,46468,31494,14974,"14,9","10,1","4,8"
585,Самарская область,1990,39918,35964,3954,"12,3","11,1","1,2"
586,Самарская область,1995,28409,48917,-20508,"8,6","14,8","-6,2"
587,Самарская область,2000,25791,53914,-28123,"7,9","16,4","-8,5"
588,Самарская область,2005,31148,51789,-20641,"9,7","16,2","-6,5"
589,Самарская область,2006,32058,49890,-17832,"10,1","15,7","-5,6"
590,Самарская область,2007,33949,48682,-14733,"10,7","15,3","-4,6"
591,Самарская область,2008,36314,48477,-12163,"11,4","15,3","-3,9"
592,Самарская область,2009,36309,47044,-10735,"11,5","14,8","-3,3"
593,Самарская область,2010,37231,48910,-11679,"11,6","15,2","-3,6"
594,Саратовская область,1970,34641,22168,12473,"14,1",9,"5,1"
595,Саратовская область,1980,37652,29500,8152,"14,6","11,5","3,1"
596,Саратовская область,1990,36249,31991,4258,"13,4","11,8","1,6"
597,Саратовская область,1995,24356,39841,-15485,"8,9","14,6","-5,7"
598,Саратовская область,2000,21979,44389,-22410,"8,1","16,4","-8,3"
599,Саратовская область,2005,23639,43944,-20305,9,"16,8","-7,8"
600,Саратовская область,2006,23781,40479,-16698,"9,1","15,6","-6,5"
601,Саратовская область,2007,26329,39641,-13312,"10,2","15,3","-5,1"
602,Саратовская область,2008,27384,39214,-11830,"10,6","15,2","-4,6"
603,Саратовская область,2009,27444,38532,-11088,"10,7",15,"-4,3"
604,Саратовская область,2010,27269,39610,-12341,"10,8","15,7","-4,9"
605,Ульяновская область,1970,17507,10784,6723,"14,2","8,8","5,4"
606,Ульяновская область,1980,19230,14092,5138,"15,1",11,"4,1"
607,Ульяновская область,1990,20013,15968,4045,"14,1","11,3","2,8"
608,Ульяновская область,1995,13288,20081,-6793,9,"13,6","-4,6"
609,Ульяновская область,2000,11547,22146,-10599,"8,1","15,6","-7,5"
610,Ульяновская область,2005,11595,22759,-11164,"8,6","16,9","-8,3"
611,Ульяновская область,2006,11585,21750,-10165,"8,7","16,4","-7,7"
612,Ульяновская область,2007,12251,20765,-8514,"9,3","15,8","-6,5"
613,Ульяновская область,2008,13461,19995,-6534,"10,3","15,3",-5
614,Ульяновская область,2009,13614,19423,-5809,"10,5","14,9","-4,4"
615,Ульяновская область,2010,13716,20403,-6687,"10,6","15,8","-5,2"
616,Курганская область,1970,16714,9829,6885,"15,4","9,1","6,3"
617,Курганская область,1980,18506,13250,5256,"17,1","12,2","4,9"
618,Курганская область,1990,16069,12644,3425,"14,5","11,4","3,1"
619,Курганская область,1995,10051,16305,-6254,"9,2","14,9","-5,7"
620,Курганская область,2000,10146,17207,-7061,"9,6","16,3","-6,7"
621,Курганская область,2005,10218,17399,-7181,"10,4","17,6","-7,2"
622,Курганская область,2006,10285,16003,-5718,"10,6","16,4","-5,8"
623,Курганская область,2007,11159,15334,-4175,"11,6","15,9","-4,3"
624,Курганская область,2008,11842,15501,-3659,"12,4","16,2","-3,8"
625,Курганская область,2009,11943,14889,-2946,"12,6","15,7","-3,1"
626,Курганская область,2010,11816,14626,-2810,13,16,-3
627,Свердловская область,1970,62574,36118,26456,"14,5","8,4","6,1"
628,Свердловская область,1980,72174,50942,21232,"16,1","11,4","4,7"
629,Свердловская область,1990,57686,52978,4708,"12,1","11,1",1
630,Свердловская область,1995,40003,73048,-33045,"8,6","15,6",-7
631,Свердловская область,2000,38372,75579,-37207,"8,4","16,6","-8,2"
632,Свердловская область,2005,45956,73423,-27467,"10,4","16,6","-6,2"
633,Свердловская область,2006,47328,67249,-19921,"10,7","15,3","-4,6"
634,Свердловская область,2007,50638,64444,-13806,"11,5","14,7","-3,2"
635,Свердловская область,2008,54364,64702,-10338,"12,4","14,7","-2,3"
636,Свердловская область,2009,56323,63045,-6722,"12,8","14,3","-1,5"
637,Свердловская область,2010,57540,61486,-3946,"13,4","14,3","-0,9"
638,Тюменская область,1970,25039,12162,12877,"17,7","8,6","9,1"
639,Тюменская область,1980,38775,18166,20609,"19,4","9,1","10,3"
640,Тюменская область,1990,50094,19944,30150,"15,9","6,3","9,6"
641,Тюменская область,1995,33479,31101,2378,"10,6","9,8","0,8"
642,Тюменская область,2000,34250,30159,4091,"10,6","9,3","1,3"
643,Тюменская область,2005,43094,32550,10544,13,"9,8","3,2"
644,Тюменская область,2006,44049,30861,13188,"13,2","9,3","3,9"
645,Тюменская область,2007,48028,30332,17696,"14,3",9,"5,3"
646,Тюменская область,2008,51043,30672,20371,"15,1","9,1",6
647,Тюменская область,2009,52992,30139,22853,"15,5","8,8","6,7"
648,Тюменская область,2010,54521,30502,24019,"16,1",9,"7,1"
649,Ханты-Мансийский автономный округ - Югра,1970,5959,2025,3934,"21,3","7,2","14,1"
650,Ханты-Мансийский автономный округ - Югра,1980,13901,4116,9785,"21,4","6,3","15,1"
651,Ханты-Мансийский автономный округ - Югра,1990,21812,5354,16458,"17,1","4,2","12,9"
652,Ханты-Мансийский автономный округ - Югра,1995,14418,10041,4377,"11,1","7,7","3,4"
653,Ханты-Мансийский автономный округ - Югра,2000,15579,9426,6153,"11,4","6,9","4,5"
654,Ханты-Мансийский автономный округ - Югра,2005,19958,10415,9543,"13,5","7,1","6,4"
655,Ханты-Мансийский автономный округ - Югра,2006,20366,10077,10289,"13,7","6,8","6,9"
656,Ханты-Мансийский автономный округ - Югра,2007,21887,10093,11794,"14,6","6,7","7,9"
657,Ханты-Мансийский автономный округ - Югра,2008,23197,10215,12982,"15,3","6,8","8,5"
658,Ханты-Мансийский автономный округ - Югра,2009,23840,10107,13733,"15,6","6,6",9
659,Ханты-Мансийский автономный округ - Югра,2010,25089,10447,14642,"16,4","6,8","9,6"
660,Ямало-Ненецкий автономный округ,1970,1683,879,804,"20,4","10,7","9,7"
661,Ямало-Ненецкий автономный округ,1980,3347,1178,2169,"17,6","6,2","11,4"
662,Ямало-Ненецкий автономный округ,1990,8032,1631,6401,"16,4","3,3","13,1"
663,Ямало-Ненецкий автономный округ,1995,6337,3107,3230,"13,1","6,4","6,7"
664,Ямало-Ненецкий автономный округ,2000,5839,2763,3076,"11,7","5,6","6,1"
665,Ямало-Ненецкий автономный округ,2005,7148,3099,4049,"13,6","5,9","7,7"
666,Ямало-Ненецкий автономный округ,2006,7036,3000,4036,"13,2","5,6","7,6"
667,Ямало-Ненецкий автономный округ,2007,7700,2937,4763,"14,2","5,4","8,8"
668,Ямало-Ненецкий автономный округ,2008,7892,2959,4933,"14,5","5,4","9,1"
669,Ямало-Ненецкий автономный округ,2009,8216,2924,5292,"15,1","5,4","9,7"
670,Ямало-Ненецкий автономный округ,2010,8263,2873,5390,"15,8","5,5","10,3"
671,Челябинская область,1970,50776,25946,24830,"15,4","7,9","7,5"
672,Челябинская область,1980,56234,34984,21250,"16,2","10,1","6,1"
673,Челябинская область,1990,48599,38367,10232,"13,1","10,4","2,7"
674,Челябинская область,1995,33161,54730,-21569,9,"14,9","-5,9"
675,Челябинская область,2000,32355,56444,-24089,"8,9","15,5","-6,6"
676,Челябинская область,2005,36770,57753,-20983,"10,4","16,3","-5,9"
677,Челябинская область,2006,37923,54263,-16340,"10,8","15,4","-4,6"
678,Челябинская область,2007,41289,52282,-10993,"11,8","14,9","-3,1"
679,Челябинская область,2008,44931,52625,-7694,"12,8",15,"-2,2"
680,Челябинская область,2009,45550,50034,-4484,13,"14,3","-1,3"
681,Челябинская область,2010,46612,50084,-3472,"13,4","14,4",-1
682,Алтай,1970,3236,1486,1750,"19,3","8,9","10,4"
683,Алтай,1980,3841,2082,1759,"21,8","11,8",10
684,Алтай,1990,3753,2126,1627,"19,3","10,9","8,4"
685,Алтай,1995,2853,2637,216,"14,3","13,2","1,1"
686,Алтай,2000,2907,2645,262,"14,3",13,"1,3"
687,Алтай,2005,3502,3170,332,"17,2","15,5","1,7"
688,Алтай,2006,3395,2837,558,"16,6","13,8","2,8"
689,Алтай,2007,4066,2574,1492,"19,7","12,5","7,2"
690,Алтай,2008,4442,2549,1893,"21,3","12,2","9,1"
691,Алтай,2009,4266,2492,1774,"20,3","11,9","8,4"
692,Алтай,2010,4224,2508,1716,"20,5","12,2","8,3"
693,Бурятия,1970,14766,6301,8465,"18,1","7,7","10,4"
694,Бурятия,1980,19859,8734,11125,"21,6","9,5","12,1"
695,Бурятия,1990,19185,9602,9583,"18,3","9,1","9,2"
696,Бурятия,1995,12311,12588,-277,"11,9","12,2","-0,3"
697,Бурятия,2000,11654,13155,-1501,"11,6","13,1","-1,5"
698,Бурятия,2005,13551,15144,-1593,14,"15,7","-1,7"
699,Бурятия,2006,14193,13930,263,"14,8","14,5","0,3"
700,Бурятия,2007,15460,12802,2658,"16,1","13,3","2,8"
701,Бурятия,2008,16372,12948,3424,17,"13,5","3,5"
702,Бурятия,2009,16729,12466,4263,"17,4",13,"4,4"
703,Бурятия,2010,16506,12361,4145,17,"12,7","4,3"
704,Тыва,1970,6559,1938,4621,"28,2","8,3","19,9"
705,Тыва,1980,7133,2748,4385,"26,6","10,2","16,4"
706,Тыва,1990,8116,2664,5452,"26,3","8,6","17,7"
707,Тыва,1995,6172,4010,2162,"20,3","13,2","7,1"
708,Тыва,2000,4871,4170,701,"15,9","13,6","2,3"
709,Тыва,2005,5979,4326,1653,"19,4",14,"5,4"
710,Тыва,2006,5950,3802,2148,"19,3","12,3",7
711,Тыва,2007,7568,3687,3881,"24,4","11,9","12,5"
712,Тыва,2008,7874,3526,4348,"25,2","11,3","13,9"
713,Тыва,2009,8242,3666,4576,"26,1","11,6","14,5"
714,Тыва,2010,8262,3566,4696,"26,9","11,6","15,3"
715,Республика Хакасия,1970,7347,3749,3598,"16,5","8,4","8,1"
716,Республика Хакасия,1980,9994,5345,4649,"19,8","10,6","9,2"
717,Республика Хакасия,1990,8724,6060,2664,"15,3","10,6","4,7"
718,Республика Хакасия,1995,5807,8186,-2379,"10,2","14,3","-4,1"
719,Республика Хакасия,2000,5634,8104,-2470,"10,1","14,6","-4,5"
720,Республика Хакасия,2005,6198,9411,-3213,"11,5","17,4","-5,9"
721,Республика Хакасия,2006,6465,7927,-1462,12,"14,8","-2,8"
722,Республика Хакасия,2007,7384,7324,60,"13,8","13,6","0,2"
723,Республика Хакасия,2008,7935,7427,508,"14,8","13,8",1
724,Республика Хакасия,2009,8062,7255,807,15,"13,5","1,5"
725,Республика Хакасия,2010,8014,7373,641,"15,1","13,9","1,2"
726,Алтайский край,1970,37471,20991,16480,15,"8,4","6,6"
727,Алтайский край,1980,44279,27657,16622,"17,6",11,"6,6"
728,Алтайский край,1990,34176,29329,4847,"12,9","11,1","1,8"
729,Алтайский край,1995,23338,39551,-16213,"8,7","14,7",-6
730,Алтайский край,2000,24674,37813,-13139,"9,3","14,3",-5
731,Алтайский край,2005,26395,42571,-16176,"10,3","16,7","-6,4"
732,Алтайский край,2006,25594,38558,-12964,"10,1","15,2","-5,1"
733,Алтайский край,2007,28363,37402,-9039,"11,3","14,9","-3,6"
734,Алтайский край,2008,30741,37497,-6756,"12,3",15,"-2,7"
735,Алтайский край,2009,30906,35774,-4868,"12,4","14,3","-1,9"
736,Алтайский край,2010,30853,36369,-5516,"12,7",15,"-2,3"
737,Забайкальский край,1970,20656,8448,12208,18,"7,4","10,6"
738,Забайкальский край,1980,26534,11798,14736,"21,3","9,5","11,8"
739,Забайкальский край,1990,23233,12072,11161,"17,6","9,2","8,4"
740,Забайкальский край,1995,15858,16638,-780,"12,7","13,3","-0,6"
741,Забайкальский край,2000,13937,17138,-3201,"11,8","14,5","-2,7"
742,Забайкальский край,2005,15327,19521,-4194,"13,5","17,2","-3,7"
743,Забайкальский край,2006,15613,17433,-1820,"13,9","15,5","-1,6"
744,Забайкальский край,2007,16652,16186,466,"14,9","14,4","0,5"
745,Забайкальский край,2008,17738,16018,1720,"15,9","14,3","1,6"
746,Забайкальский край,2009,17816,15255,2561,"15,9","13,7","2,2"
747,Забайкальский край,2010,17577,15331,2246,"15,9","13,8","2,1"
748,Красноярский край,1970,41203,19435,21768,"16,4","7,7","8,7"
749,Красноярский край,1980,49550,26043,23507,"18,1","9,5","8,6"
750,Красноярский край,1990,43640,29268,14372,"13,8","9,3","4,5"
751,Красноярский край,1995,30596,43406,-12810,"9,8",14,"-4,2"
752,Красноярский край,2000,28111,44456,-16345,"9,3","14,8","-5,5"
753,Красноярский край,2005,31534,45723,-14189,"10,8","15,7","-4,9"
754,Красноярский край,2006,31836,40401,-8565,11,"13,9","-2,9"
755,Красноярский край,2007,34206,38470,-4264,"11,8","13,3","-1,5"
756,Красноярский край,2008,36880,38987,-2107,"12,8","13,5","-0,7"
757,Красноярский край,2009,38150,37635,515,"13,2",13,"0,2"
758,Красноярский край,2010,38527,38131,396,"13,6","13,5","0,1"
759,Иркутская область,1970,40460,17567,22893,"17,4","7,6","9,8"
760,Иркутская область,1980,50966,25996,24970,"19,6",10,"9,6"
761,Иркутская область,1990,45202,27855,17347,"16,2",10,"6,2"
762,Иркутская область,1995,29769,40937,-11168,"10,9",15,"-4,1"
763,Иркутская область,2000,28062,40829,-12767,"10,7","15,5","-4,8"
764,Иркутская область,2005,30266,43202,-12936,"11,9",17,"-5,1"
765,Иркутская область,2006,31039,38159,-7120,"12,3","15,1","-2,8"
766,Иркутская область,2007,34711,35157,-446,"13,8",14,"-0,2"
767,Иркутская область,2008,37548,35359,2189,15,"14,1","0,9"
768,Иркутская область,2009,38073,34898,3175,"15,2","13,9","1,3"
769,Иркутская область,2010,36935,35105,1830,"15,2","14,4","0,8"
770,Кемеровская область,1970,41636,22994,18642,"14,3","7,9","6,4"
771,Кемеровская область,1980,49890,32653,17237,"16,8",11,"5,8"
772,Кемеровская область,1990,40066,35082,4984,"12,9","11,3","1,6"
773,Кемеровская область,1995,27314,51011,-23697,"8,9","16,7","-7,8"
774,Кемеровская область,2000,26580,49176,-22596,9,"16,7","-7,7"
775,Кемеровская область,2005,30862,53152,-22290,"10,8","18,7","-7,9"
776,Кемеровская область,2006,32060,48870,-16810,"11,3","17,3",-6
777,Кемеровская область,2007,34242,46816,-12574,"12,1","16,6","-4,5"
778,Кемеровская область,2008,36675,46121,-9446,13,"16,3","-3,3"
779,Кемеровская область,2009,37599,44856,-7257,"13,3","15,9","-2,6"
780,Кемеровская область,2010,36370,44522,-8152,"13,2","16,1","-2,9"
781,Новосибирская область,1970,35729,19836,15893,"14,3","7,9","6,4"
782,Новосибирская область,1980,45238,27678,17560,"17,1","10,5","6,6"
783,Новосибирская область,1990,36116,29558,6558,"13,2","10,8","2,4"
784,Новосибирская область,1995,23486,38756,-15270,"8,6","14,2","-5,6"
785,Новосибирская область,2000,23138,38522,-15384,"8,5","14,2","-5,7"
786,Новосибирская область,2005,28269,42719,-14450,"10,6","16,1","-5,5"
787,Новосибирская область,2006,27906,40241,-12335,"10,5","15,2","-4,7"
788,Новосибирская область,2007,30136,38818,-8682,"11,4","14,7","-3,3"
789,Новосибирская область,2008,33056,38329,-5273,"12,5","14,5",-2
790,Новосибирская область,2009,34249,37203,-2954,"12,9","14,1","-1,2"
791,Новосибирская область,2010,35073,37055,-1982,"13,2","13,9","-0,7"
792,Омская область,1970,29012,14105,14907,"15,9","7,7","8,2"
793,Омская область,1980,37800,19507,18293,"19,2","9,9","9,3"
794,Омская область,1990,32191,20110,12081,"14,9","9,3","5,6"
795,Омская область,1995,22313,26747,-4434,"10,3","12,4","-2,1"
796,Омская область,2000,18363,28713,-10350,"8,6","13,5","-4,9"
797,Омская область,2005,21282,31686,-10404,"10,4","15,5","-5,1"
798,Омская область,2006,21424,30159,-8735,"10,6","14,9","-4,3"
799,Омская область,2007,23715,29609,-5894,"11,7","14,6","-2,9"
800,Омская область,2008,25050,28819,-3769,"12,4","14,3","-1,9"
801,Омская область,2009,25639,27342,-1703,"12,7","13,6","-0,9"
802,Омская область,2010,26203,27504,-1301,"13,2","13,9","-0,7"
803,Томская область,1970,12343,6230,6113,"15,6","7,9","7,7"
804,Томская область,1980,16056,8622,7434,"18,2","9,8","8,4"
805,Томская область,1990,13550,9402,4148,"12,6","8,7","3,9"
806,Томская область,1995,9853,13969,-4116,"9,2",13,"-3,8"
807,Томская область,2000,10071,13960,-3889,"9,5","13,2","-3,7"
808,Томская область,2005,11107,15025,-3918,"10,7","14,5","-3,8"
809,Томская область,2006,11486,13913,-2427,"11,1","13,5","-2,4"
810,Томская область,2007,12429,13253,-824,12,"12,8","-0,8"
811,Томская область,2008,13308,13353,-45,"12,8","12,9","-0,1"
812,Томская область,2009,13738,13406,332,"13,2","12,9","0,3"
813,Томская область,2010,13627,13197,430,"13,1","12,6","0,5"
814,Республика Саха (Якутия),1970,13899,5700,8199,"20,8","8,5","12,3"
815,Республика Саха (Якутия),1980,18132,7501,10631,"20,8","8,6","12,2"
816,Республика Саха (Якутия),1990,21662,7470,14192,"19,4","6,7","12,7"
817,Республика Саха (Якутия),1995,15731,10079,5652,"15,3","9,8","5,5"
818,Республика Саха (Якутия),2000,13147,9325,3822,"13,7","9,7",4
819,Республика Саха (Якутия),2005,13591,9696,3895,"14,3","10,2","4,1"
820,Республика Саха (Якутия),2006,13713,9245,4468,"14,4","9,7","4,7"
821,Республика Саха (Якутия),2007,15268,9179,6089,"16,1","9,7","6,4"
822,Республика Саха (Якутия),2008,15363,9579,5784,"16,2","10,1","6,1"
823,Республика Саха (Якутия),2009,15970,9353,6617,"16,8","9,8",7
824,Республика Саха (Якутия),2010,16109,9402,6707,"16,8","9,8",7
825,Камчатский край,1970,5108,1970,3138,"17,5","6,7","10,8"
826,Камчатский край,1980,6517,2709,3808,"16,8",7,"9,8"
827,Камчатский край,1990,5905,2966,2939,"12,4","6,2","6,2"
828,Камчатский край,1995,3806,4656,-850,"9,2","11,2",-2
829,Камчатский край,2000,3426,4047,-621,"9,3",11,"-1,7"
830,Камчатский край,2005,3868,4405,-537,11,"12,6","-1,6"
831,Камчатский край,2006,3842,3943,-101,11,"11,3","-0,3"
832,Камчатский край,2007,3931,3863,68,"11,3","11,2","0,1"
833,Камчатский край,2008,4022,3926,96,"11,7","11,4","0,3"
834,Камчатский край,2009,4074,4045,29,"11,9","11,8","0,1"
835,Камчатский край,2010,3880,4067,-187,"12,1","12,6","-0,5"
836,Приморский край,1970,30648,12322,18326,"17,7","7,1","10,6"
837,Приморский край,1980,35950,18583,17367,18,"9,3","8,7"
838,Приморский край,1990,33614,20874,12740,"14,6","9,1","5,5"
839,Приморский край,1995,21235,29550,-8315,"9,4","13,1","-3,7"
840,Приморский край,2000,18393,29513,-11120,"8,6","13,9","-5,3"
841,Приморский край,2005,21174,32812,-11638,"10,4","16,2","-5,8"
842,Приморский край,2006,20935,30052,-9117,"10,4","14,9","-4,5"
843,Приморский край,2007,22455,29120,-6665,"11,2","14,6","-3,4"
844,Приморский край,2008,22602,28944,-6342,"11,3","14,5","-3,2"
845,Приморский край,2009,23469,27458,-3989,"11,8","13,8",-2
846,Приморский край,2010,23164,27974,-4810,"11,8","14,3","-2,5"
847,Хабаровский край,1970,20151,8267,11884,"17,1",7,"10,1"
848,Хабаровский край,1980,26256,12757,13499,"18,7","9,1","9,6"
849,Хабаровский край,1990,24482,14991,9491,"15,1","9,2","5,9"
850,Хабаровский край,1995,14625,20668,-6043,"9,4","13,3","-3,9"
851,Хабаровский край,2000,12400,20745,-8345,"8,5","14,1","-5,6"
852,Хабаровский край,2005,15410,23074,-7664,"10,9","16,3","-5,4"
853,Хабаровский край,2006,15558,20958,-5400,11,"14,9","-3,9"
854,Хабаровский край,2007,16303,19947,-3644,"11,6","14,2","-2,6"
855,Хабаровский край,2008,17067,19570,-2503,"12,2",14,"-1,8"
856,Хабаровский край,2009,17573,19115,-1542,"12,5","13,6","-1,1"
